chunk_index,token_density,heading_depth,neighbor_overlap,source_file,page
281,491,0,0.30337078651685395,unknown,-1
282,647,0,0.23759791122715404,unknown,-1
283,665,0,0.29133858267716534,unknown,-1
284,690,0,0.28720626631853785,unknown,-1
285,614,0,0.3770491803278688,unknown,-1
286,590,0,0.2604501607717042,unknown,-1
287,484,0,0.132013201320132,unknown,-1
288,339,0,0.19553072625698323,unknown,-1
289,126,0,0.1984732824427481,unknown,-1
290,268,0,0.4222222222222222,unknown,-1
291,115,0,0.056666666666666664,unknown,-1
292,706,0,0.2413793103448276,unknown,-1
293,470,0,0.11174785100286533,unknown,-1
294,319,0,0.12133891213389121,unknown,-1
295,240,0,0.16728624535315986,unknown,-1
296,501,0,0.3559870550161812,unknown,-1
297,615,0,0.16943521594684385,unknown,-1
298,244,0,0.1875,unknown,-1
299,253,0,0.0911854103343465,unknown,-1
300,773,0,0.2546419098143236,unknown,-1
301,601,0,0.10695187165775401,unknown,-1
302,562,0,0.2791519434628975,unknown,-1
303,530,0,0.30962343096234307,unknown,-1
304,549,0,0.2746478873239437,unknown,-1
305,611,0,0.30103806228373703,unknown,-1
306,556,0,0.3220338983050847,unknown,-1
307,609,0,0.33636363636363636,unknown,-1
308,601,0,0.24198250728862974,unknown,-1
309,591,0,0.38064516129032255,unknown,-1
310,579,0,0.4456140350877193,unknown,-1
311,567,0,0.28013029315960913,unknown,-1
312,631,0,0.28895184135977336,unknown,-1
313,649,0,0.27034120734908135,unknown,-1
314,626,0,0.27100271002710025,unknown,-1
315,641,0,0.3131868131868132,unknown,-1
316,638,0,0.2845528455284553,unknown,-1
317,633,0,0.29432624113475175,unknown,-1
318,305,0,0.13793103448275862,unknown,-1
319,342,0,0.15234375,unknown,-1
320,489,0,0.23893805309734514,unknown,-1
321,396,0,0.17272727272727273,unknown,-1
322,378,0,0.21243523316062177,unknown,-1
323,378,0,0.21287128712871287,unknown,-1
324,409,0,0.16145833333333334,unknown,-1
325,221,0,0.12334801762114538,unknown,-1
326,329,0,0.1717171717171717,unknown,-1
327,439,0,0.17403314917127072,unknown,-1
328,548,0,0.20588235294117646,unknown,-1
329,565,0,0.21727019498607242,unknown,-1
330,684,0,0.19662921348314608,unknown,-1
331,540,0,0.21910112359550563,unknown,-1
332,609,0,0.2126984126984127,unknown,-1
333,449,0,0.21266968325791855,unknown,-1
334,272,0,0.17716535433070865,unknown,-1
335,467,0,0.20765027322404372,unknown,-1
336,559,0,0.20612813370473537,unknown,-1
337,427,0,0.18873239436619718,unknown,-1
338,630,0,0.1855421686746988,unknown,-1
339,597,0,0.19270833333333334,unknown,-1
340,552,0,0.25,unknown,-1
341,548,0,0.16019417475728157,unknown,-1
342,769,0,0.2072072072072072,unknown,-1
343,655,0,0.21428571428571427,unknown,-1
344,662,0,0.28869047619047616,unknown,-1
345,561,0,0.268370607028754,unknown,-1
346,415,0,0.2585551330798479,unknown,-1
347,661,0,0.2964169381107492,unknown,-1
348,640,0,0.33429394812680113,unknown,-1
349,650,0,0.2140845070422535,unknown,-1
350,550,0,0.2136150234741784,unknown,-1
351,666,0,0.329923273657289,unknown,-1
352,584,0,0.29337539432176657,unknown,-1
353,663,0,0.2155688622754491,unknown,-1
354,605,0,0.255663430420712,unknown,-1
355,594,0,0.36977491961414793,unknown,-1
356,721,0,0.23768115942028986,unknown,-1
357,511,0,0.32432432432432434,unknown,-1
358,694,0,0.3063063063063063,unknown,-1
359,710,0,0.23303834808259588,unknown,-1
360,579,0,0.22281167108753316,unknown,-1
361,732,0,0.24873096446700507,unknown,-1
362,601,0,0.22965116279069767,unknown,-1
363,657,0,0.390625,unknown,-1
364,458,0,0.3940677966101695,unknown,-1
365,588,0,0.3895582329317269,unknown,-1
366,575,0,0.25951557093425603,unknown,-1
367,613,0,0.31417624521072796,unknown,-1
368,503,0,0.27314814814814814,unknown,-1
369,438,0,0.31390134529147984,unknown,-1
370,419,0,0.36428571428571427,unknown,-1
371,597,0,0.3964285714285714,unknown,-1
372,613,0,0.3311897106109325,unknown,-1
373,645,0,0.3344262295081967,unknown,-1
374,502,0,0.30851063829787234,unknown,-1
375,594,0,0.27635327635327633,unknown,-1
376,683,0,0.29329608938547486,unknown,-1
377,677,0,0.3475409836065574,unknown,-1
378,705,0,0.30246913580246915,unknown,-1
379,727,0,0.3741496598639456,unknown,-1
380,514,0,0.23670212765957446,unknown,-1
381,826,0,0.3220338983050847,unknown,-1
382,566,0,0.40441176470588236,unknown,-1
383,562,0,0.45081967213114754,unknown,-1
384,528,0,0.288135593220339,unknown,-1
385,597,0,0.2590529247910863,unknown,-1
386,751,0,0.35446685878962536,unknown,-1
387,680,0,0.2208955223880597,unknown,-1
388,549,0,0.3333333333333333,unknown,-1
389,520,0,0.36666666666666664,unknown,-1
390,604,0,0.22792022792022792,unknown,-1
391,561,0,0.29927007299270075,unknown,-1
392,454,0,0.3254901960784314,unknown,-1
393,507,0,0.304,unknown,-1
394,431,0,0.20655737704918034,unknown,-1
395,594,0,0.2742382271468144,unknown,-1
396,649,0,0.24390243902439024,unknown,-1
397,640,0,0.2857142857142857,unknown,-1
398,649,0,0.2797427652733119,unknown,-1
399,449,0,0.2824427480916031,unknown,-1
400,501,0,0.2490566037735849,unknown,-1
401,521,0,0.3391304347826087,unknown,-1
402,502,0,0.3041825095057034,unknown,-1
403,513,0,0.23344947735191637,unknown,-1
404,570,0,0.2873134328358209,unknown,-1
405,535,0,0.29411764705882354,unknown,-1
406,656,0,0.33447098976109213,unknown,-1
407,619,0,0.2765957446808511,unknown,-1
408,689,0,0.29411764705882354,unknown,-1
